evidence_id,document_id,section_title,text,source_type,planted,metadata
IRCASE-0033-EV-ROLES-1,IRCASE-0033-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0033-EV-POST_INCIDENT_REVIEW-2,IRCASE-0033-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0033-EV-DISTRACTOR_0-0,IRCASE-0033-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0033-EV-DISTRACTOR_1-0,IRCASE-0033-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0034-EV-ROLES-0,IRCASE-0034-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0034-EV-DISTRACTOR_0-0,IRCASE-0034-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0034-EV-DISTRACTOR_1-0,IRCASE-0034-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0035-EV-NON_SUPPORTING-0,IRCASE-0035-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0035-EV-DISTRACTOR_0-0,IRCASE-0035-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0035-EV-DISTRACTOR_1-0,IRCASE-0035-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0036-EV-NON_SUPPORTING-0,IRCASE-0036-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0036-EV-DISTRACTOR_0-0,IRCASE-0036-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0036-EV-DISTRACTOR_1-0,IRCASE-0036-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0037-EV-PROCESS-0,IRCASE-0037-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0037-EV-ROLES-1,IRCASE-0037-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0037-EV-POST_INCIDENT_REVIEW-2,IRCASE-0037-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0037-EV-DISTRACTOR_0-0,IRCASE-0037-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0037-EV-DISTRACTOR_1-0,IRCASE-0037-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0038-EV-ESCALATION-0,IRCASE-0038-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0038-EV-DISTRACTOR_0-0,IRCASE-0038-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0038-EV-DISTRACTOR_1-0,IRCASE-0038-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0039-EV-NON_SUPPORTING-0,IRCASE-0039-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0039-EV-DISTRACTOR_0-0,IRCASE-0039-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0039-EV-DISTRACTOR_1-0,IRCASE-0039-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0040-EV-NON_SUPPORTING-0,IRCASE-0040-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0040-EV-DISTRACTOR_0-0,IRCASE-0040-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0040-EV-DISTRACTOR_1-0,IRCASE-0040-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0041-EV-PROCESS-0,IRCASE-0041-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0041-EV-ROLES-1,IRCASE-0041-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0041-EV-POST_INCIDENT_REVIEW-2,IRCASE-0041-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0041-EV-DISTRACTOR_0-0,IRCASE-0041-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0041-EV-DISTRACTOR_1-0,IRCASE-0041-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0042-EV-ESCALATION-0,IRCASE-0042-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0042-EV-DISTRACTOR_0-0,IRCASE-0042-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0042-EV-DISTRACTOR_1-0,IRCASE-0042-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0043-EV-NON_SUPPORTING-0,IRCASE-0043-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0043-EV-DISTRACTOR_0-0,IRCASE-0043-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0043-EV-DISTRACTOR_1-0,IRCASE-0043-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0044-EV-NON_SUPPORTING-0,IRCASE-0044-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0044-EV-DISTRACTOR_0-0,IRCASE-0044-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0044-EV-DISTRACTOR_1-0,IRCASE-0044-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0045-EV-PROCESS-0,IRCASE-0045-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0045-EV-ROLES-1,IRCASE-0045-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0045-EV-POST_INCIDENT_REVIEW-2,IRCASE-0045-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0045-EV-DISTRACTOR_0-0,IRCASE-0045-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0045-EV-DISTRACTOR_1-0,IRCASE-0045-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0046-EV-ROLES-0,IRCASE-0046-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0046-EV-DISTRACTOR_0-0,IRCASE-0046-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0046-EV-DISTRACTOR_1-0,IRCASE-0046-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0047-EV-NON_SUPPORTING-0,IRCASE-0047-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0047-EV-DISTRACTOR_0-0,IRCASE-0047-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0047-EV-DISTRACTOR_1-0,IRCASE-0047-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0048-EV-NON_SUPPORTING-0,IRCASE-0048-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0048-EV-DISTRACTOR_0-0,IRCASE-0048-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0048-EV-DISTRACTOR_1-0,IRCASE-0048-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0049-EV-PROCESS-0,IRCASE-0049-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0049-EV-ROLES-1,IRCASE-0049-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0049-EV-POST_INCIDENT_REVIEW-2,IRCASE-0049-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0049-EV-DISTRACTOR_0-0,IRCASE-0049-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0049-EV-DISTRACTOR_1-0,IRCASE-0049-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0050-EV-ESCALATION-0,IRCASE-0050-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0050-EV-DISTRACTOR_0-0,IRCASE-0050-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0050-EV-DISTRACTOR_1-0,IRCASE-0050-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0051-EV-NON_SUPPORTING-0,IRCASE-0051-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0051-EV-DISTRACTOR_0-0,IRCASE-0051-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0051-EV-DISTRACTOR_1-0,IRCASE-0051-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0052-EV-NON_SUPPORTING-0,IRCASE-0052-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0052-EV-DISTRACTOR_0-0,IRCASE-0052-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0052-EV-DISTRACTOR_1-0,IRCASE-0052-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0053-EV-PROCESS-0,IRCASE-0053-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0053-EV-ROLES-1,IRCASE-0053-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0053-EV-POST_INCIDENT_REVIEW-2,IRCASE-0053-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0053-EV-DISTRACTOR_0-0,IRCASE-0053-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0053-EV-DISTRACTOR_1-0,IRCASE-0053-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0054-EV-ROLES-0,IRCASE-0054-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0054-EV-DISTRACTOR_0-0,IRCASE-0054-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0054-EV-DISTRACTOR_1-0,IRCASE-0054-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0055-EV-NON_SUPPORTING-0,IRCASE-0055-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0055-EV-DISTRACTOR_0-0,IRCASE-0055-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0055-EV-DISTRACTOR_1-0,IRCASE-0055-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0056-EV-NON_SUPPORTING-0,IRCASE-0056-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0056-EV-DISTRACTOR_0-0,IRCASE-0056-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0056-EV-DISTRACTOR_1-0,IRCASE-0056-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0057-EV-PROCESS-0,IRCASE-0057-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0057-EV-ROLES-1,IRCASE-0057-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0057-EV-POST_INCIDENT_REVIEW-2,IRCASE-0057-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0057-EV-DISTRACTOR_0-0,IRCASE-0057-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0057-EV-DISTRACTOR_1-0,IRCASE-0057-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0058-EV-ROLES-0,IRCASE-0058-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0058-EV-DISTRACTOR_0-0,IRCASE-0058-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0058-EV-DISTRACTOR_1-0,IRCASE-0058-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0059-EV-NON_SUPPORTING-0,IRCASE-0059-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0059-EV-DISTRACTOR_0-0,IRCASE-0059-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0059-EV-DISTRACTOR_1-0,IRCASE-0059-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0060-EV-NON_SUPPORTING-0,IRCASE-0060-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0060-EV-DISTRACTOR_0-0,IRCASE-0060-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0060-EV-DISTRACTOR_1-0,IRCASE-0060-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0061-EV-PROCESS-0,IRCASE-0061-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0061-EV-ROLES-1,IRCASE-0061-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0061-EV-POST_INCIDENT_REVIEW-2,IRCASE-0061-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0061-EV-DISTRACTOR_0-0,IRCASE-0061-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0061-EV-DISTRACTOR_1-0,IRCASE-0061-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0062-EV-ROLES-0,IRCASE-0062-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0062-EV-DISTRACTOR_0-0,IRCASE-0062-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0062-EV-DISTRACTOR_1-0,IRCASE-0062-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0063-EV-NON_SUPPORTING-0,IRCASE-0063-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0063-EV-DISTRACTOR_0-0,IRCASE-0063-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0063-EV-DISTRACTOR_1-0,IRCASE-0063-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0064-EV-NON_SUPPORTING-0,IRCASE-0064-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0064-EV-DISTRACTOR_0-0,IRCASE-0064-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0064-EV-DISTRACTOR_1-0,IRCASE-0064-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0065-EV-PROCESS-0,IRCASE-0065-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0065-EV-ROLES-1,IRCASE-0065-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
