case_id,original_case_id,case_cleanup_status,expected_status,predicted_metadata_aware,predicted_provenance_balanced,predicted_provenance_conservative,predicted_provenance_conservative_with_guard,false_compliance_by_method,abstention_by_method,evidence_ids_used_by_method,canonical_source_types,requirement_criteria,missing_criteria,likely_error_type,all_error_categories,rationale
PUBEXT18B-035,PUBEXT18-035,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_guidance,documented_incident_response_process|document_version_and_validity,documented_incident_response_process|document_version_and_validity,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST publications are guidance, not a versioned organization plan."
PUBEXT18B-036,PUBEXT18-036,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative_with_guard"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""]}",public_org_plan,documented_incident_response_process|document_version_and_validity,document_version_and_validity,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,MSU page links a full plan but the selected short public summary does not expose enough review/validity metadata.
PUBEXT18B-037,PUBEXT18-037,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative_with_guard"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""]}",public_org_policy,documented_incident_response_process|supplier_or_third_party_incident_escalation,documented_incident_response_process,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,"USC third-party scope is relevant, but this selected evidence alone is insufficient for a full documented process."
PUBEXT18B-038,PUBEXT18-038,retained_clean,unclear,fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E020"", ""PUBIR-E021""], ""provenance_balanced"": [""PUBIR-E020"", ""PUBIR-E021""], ""provenance_conservative"": [""PUBIR-E020"", ""PUBIR-E021""], ""provenance_conservative_with_guard"": [""PUBIR-E020"", ""PUBIR-E021""]}",public_org_plan,periodic_testing_or_exercises|evidence_preservation,periodic_testing_or_exercises,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,"UConn mentions exercises and evidence preservation, but selected evidence does not show a recent completed exercise."
PUBEXT18B-040,PUBEXT18-040,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative_with_guard"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""]}",public_org_standard,documented_incident_response_process|management_approval,documented_incident_response_process,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,"USNH approval history and team evidence are strong, but the selected evidence is not enough for a full process-only conclusion."
PUBEXT18B-041,PUBEXT18-041,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E023""], ""provenance_conservative"": [""PUBIR-E023""], ""provenance_conservative_with_guard"": [""PUBIR-E023""]}",public_org_plan,supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,"UConn vendor engagement evidence is for notification/monitoring services after breach analysis, not a clear supplier incident escalation procedure."
PUBEXT18B-042,PUBEXT18-042,retained_clean,unclear,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E048""], ""provenance_balanced"": [""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_template,document_version_and_validity|periodic_testing_or_exercises,document_version_and_validity|periodic_testing_or_exercises,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata,EPA template instructions recommend maintenance and training but do not prove an implemented and current organization plan.
PUBEXT18B-043,PUBEXT18-043,retained_clean,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [""PUBIR-E031""], ""provenance_balanced"": [""PUBIR-E031""], ""provenance_conservative"": [""PUBIR-E031""], ""provenance_conservative_with_guard"": [""PUBIR-E031""]}",public_org_procedure,evidence_preservation|incident_reporting_channel,evidence_preservation,genuine_generalization_failure,genuine_generalization_failure,"SCU immediate steps are relevant, but a single short procedure excerpt does not fully establish evidence-preservation governance."
PUBEXT18B-044,PUBEXT18-044,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative_with_guard"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""]}",public_org_plan,documented_incident_response_process|post_incident_review_or_lessons_learned,documented_incident_response_process,method_overtrusts_policy,method_overtrusts_policy|genuine_generalization_failure,McNeese documentation evidence supports reports/debriefs but not the full incident-response process alone.
PUBEXT18B-045,PUBEXT18-045,retained_clean,unclear,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""], ""provenance_conservative_with_guard"": [""PUBIR-E042"", ""PUBIR-E043"", ""PUBIR-E045""]}",public_org_plan,supplier_or_third_party_incident_escalation|management_approval,supplier_or_third_party_incident_escalation,paraphrase_too_short,paraphrase_too_short,Procurement advice for vendor incidents is relevant but not a clear supplier escalation SLA or notification obligation.
PUBEXT18B-046,PUBEXT18-046,retained_clean,unclear,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E048""], ""provenance_balanced"": [""PUBIR-E046"", ""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_template,documented_incident_response_process|periodic_testing_or_exercises,documented_incident_response_process|periodic_testing_or_exercises,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overtrusts_policy|genuine_generalization_failure,Template instructions are useful but do not establish adoption or completed testing.
